Ano,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
1991,180.7,197.9,174.0,90.3,15.4,93.4,7.2,0,14.9,153.0,136.0,539.6
1992,56.9,163.9,294.4,148.6,202.0,18.1,20.1,24.3,215.2,153.0,102.1,56.5
1993,119.9,338.4,83.0,51.0,67.0,41.0,14.6,38.0,53.1,76.4,131.0,96.7
1994,335.2,120.8,118.9,52.1,68.3,59.5,23.0,0,32.8,51.5,168.2,190.2
1995,198.2,245.6,106.0,64.2,66.4,54.0,22.2,0,51.1,218.2,66.9,180.9
1996,198.9,284.4,202.5,101.4,66.1,3.5,1.3,21.9,85.7,155.0,204.2,290.8
1997,304.5,187.7,33.0,53.3,77.8,237.9,17.9,17.1,56.7,149.9,214.4,45.4
1998,153.8,88.6,334.3,155.8,85.5,6.4,7.2,148.3,87.2,169.5,45.2,346.4
1999,195.0,315.1,46.3,132.8,60.2,48.2,7.6,0,30.9,49.0,73.0,267.3
2000,91.1,321.7,183.3,12.8,12.9,36.0,60.8,76.8,92.1,73.9,166.3,179.3
2001,97.9,274.7,113.1,52.4,113.4,42.0,28.6,19.6,64.7,139.8,182.9,156.4
2002,418.6,84.6,85.3,0,276.5,0,90.4,129.4,152.2,116.8,233.7,283.1
2003,533.2,189.1,136.1,83.3,39.1,71.5,25.4,35.6,116.9,74.1,121.0,156.8
2004,190.6,125.3,188.0,27.6,233.2,76.3,79.0,0,25.8,284.0,241.8,90.1
2005,417.5,24.7,50.3,110.2,84.0,106.2,28.2,28.6,194.0,178.6,42.6,93.6
2006,123.9,375.5,150.9,9.8,31.6,26.4,39.5,13.4,59.8,119.8,139.1,435.8
2007,351.3,156.2,95.0,58.8,71.6,0,293.0,1.2,16.0,84.4,199.5,66.2
2008,187.8,160.9,279.4,159.6,87.9,23.0,0,94.2,34.6,177.0,146.2,43.9
2009,536.5,271.8,53.4,19.4,63.2,60.2,149.6,191.8,191.4,243.7,184.3,341.2
2010,498.8,181.8,150.8,41.6,39.0,24.0,32.0,0,304.6,83.2,135.2,249.8
2011,383.5,509.6,112.4,89.4,18.2,54.4,29.6,22.2,7.6,261.6,160.4,212.6
2012,216.2,174.6,221.4,149.0,131.6,372.4,31.4,0,199.0,104.4,145.8,386.7
2013,148.8,200.4,203.0,250.4,131.2,105.8,45.0,3.0,104.8,153.7,149.6,135.0
2014,225.9,77.7,108.6,182.2,90.2,9.4,67.5,20.0,174.9,95.4,232.0,227.0
2015,147.7,229.0,252.2,155.0,155.0,38.4,187.2,22.6,175.2,273.8,378.4,260.1
2016,347.1,295.0,112.8,128.0,158.2,33.8,20.0,125.2,59.4,90.7,12.4,254.2
2017,383.2,76.0,66.8,54.4,221.1,46.7,0,74.0,16.3,258.0,292.5,371.8
2018,427.9,133.4,137.4,18.0,29.0,6.1,0,62.0,139.5,265.3,181.4,87.8
2019,171.5,178.7,86.9,68.1,59.6,17.2,46.0,0,61.4,112.3,16.0,0
